time;value:ana_in_4;value:ana_in_5;value:ps_pin;id:ps_pin;bucket:ps_pin;metadata:ps_pin;value:inputs;id:inputs;bucket:inputs;metadata:inputs;value:ip;id:ip;bucket:ip;metadata:ip;value:location;id:location;bucket:location;location:location;metadata:location;value:rssi;id:rssi;bucket:rssi;metadata:rssi
2022-08-01T16:50:20.000-03:00;;1343;2;62e82e7c7508c615991cf2ba;62dfe29bf64d3100118bcb08;"{""mqtt_topic"":""ps_pin""}";;;;;;;;;;;;;;;;;
2022-08-01T16:46:39.000-03:00;;1278;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:46:34.000-03:00;;1376;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:46:30.000-03:00;;1265;2;62e82d967508c615991ced48;62dfe29bf64d3100118bcb08;"{""mqtt_topic"":""ps_pin""}";;;;;;;;;;;;;;;;;
2022-08-01T16:46:19.000-03:00;;1281;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:46:15.000-03:00;;1238;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:46:09.000-03:00;;1316;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:46:04.000-03:00;;1255;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:45:59.000-03:00;;1317;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:45:55.000-03:00;;1311;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:45:50.000-03:00;;1328;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:45:44.000-03:00;;1254;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:45:39.000-03:00;;1310;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:45:34.000-03:00;;1317;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:45:29.000-03:00;;1281;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:45:24.000-03:00;;1343;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:45:20.000-03:00;;1317;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:45:15.000-03:00;;1326;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:45:09.000-03:00;;1303;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:45:04.000-03:00;;;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:44:59.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:44:54.000-03:00;;1302;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:44:49.000-03:00;;1317;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:44:45.000-03:00;;1259;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:44:40.000-03:00;;1261;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:44:34.000-03:00;;1353;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:44:29.000-03:00;;1254;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:44:24.000-03:00;;1322;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:44:19.000-03:00;;1295;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:44:14.000-03:00;;1318;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:44:10.000-03:00;;1307;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:44:05.000-03:00;;1321;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:43:59.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:43:54.000-03:00;;1318;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:43:49.000-03:00;;1315;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:43:45.000-03:00;;1250;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:43:39.000-03:00;;1242;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:43:35.000-03:00;;1322;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:43:30.000-03:00;;1322;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:43:24.000-03:00;;1303;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:43:19.000-03:00;;1328;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:43:14.000-03:00;;1306;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:43:09.000-03:00;;1314;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:43:04.000-03:00;;1322;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:43:00.000-03:00;;1255;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:42:54.000-03:00;;1321;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:42:49.000-03:00;;1260;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:42:44.000-03:00;;1321;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:42:40.000-03:00;;1323;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:42:34.000-03:00;;1317;;;;;;;;;;;;;;;;;;;;;
